acc_ref,veh_ref,cas_ref,cas_class,cas_sex,cas_age,cas_severe,ped_locn,ped_mvmnt,ped_dirn,pupil_cas,seat_belt,car_pssngr,psv_pssngr,school,postcode,dtp_proj,pol_la_pro,text_id,cas_type,address,Distance to Accident
3910,1,1,Pedestrian,Female,13,Slight,In carriageway crossing elsewhere within 50 metres of pedestrian crossing,Crossing from drivers offside-masked by parked or stationary vehicle,E,Not a school pupil,Not car or van,Not car passenger,Not a psv passenger,,EH64JJ,,,0,Pedestrian,unset,No Postcode Info.
4810,3,1,Vehicle or pillion passenger,Female,70,Slight,Unknown,Unknown,\,Not a school pupil,Not car or van,Not car passenger,Standing passenger,,EH36SR,,,0,Bus/coach Passenger,unset,0.7891 km
9910,1,1,Driver or Rider,Female,21,Slight,Unknown,Unknown,\,Not a school pupil,Not car or van,Not car passenger,Not a psv passenger,,DD81HH,,,0,Car Driver,unset,No Postcode Info.
9910,1,2,Vehicle or pillion passenger,Female,20,Slight,Unknown,Unknown,\,Not a school pupil,Not car or van,Front seat car passenger,Not a psv passenger,,DD81XX,,,0,Car Passenger,unset,No Postcode Info.
12810,1,1,Driver or Rider,Male,22,Slight,Unknown,Unknown,\,Not a school pupil,Not car or van,Not car passenger,Not a psv passenger,,EH216TS,,,0,Car Driver,unset,No Postcode Info.
16710,2,1,Driver or Rider,Female,45,Slight,Unknown,Unknown,\,Not a school pupil,Not car or van,Not car passenger,Not a psv passenger,,EH329HP,,,0,Car Driver,unset,13.17 km
18310,2,1,Driver or Rider,Male,34,Slight,Unknown,Unknown,\,Not a school pupil,Not car or van,Not car passenger,Not a psv passenger,,FK101LY,,,0,Car Driver,unset,No Postcode Info.
19510,1,1,Pedestrian,Female,14,Slight,Unknown,Unknown,Unknown,Not a school pupil,Not car or van,Not car passenger,Not a psv passenger,,EH42PT,,,0,Pedestrian,unset,No Postcode Info.
20610,2,1,Driver or Rider,Male,50,Slight,Unknown,Unknown,\,Not a school pupil,Not car or van,Not car passenger,Not a psv passenger,,EH345BA,,,0,Car Driver,unset,24.32 km
21710,2,1,Driver or Rider,Female,30,Slight,Unknown,Unknown,\,Not a school pupil,Not car or van,Not car passenger,Not a psv passenger,,EH309RP,,,0,Car Driver,unset,0.5936 km
22910,1,1,Driver or Rider,Female,25,Slight,Unknown,Unknown,\,Not a school pupil,Not car or van,Not car passenger,Not a psv passenger,,EH483QP,,,0,LGV Driver,unset,18.88 km
28210,1,1,Driver or Rider,Female,52,Slight,Unknown,Unknown,\,Not a school pupil,Not car or van,Not car passenger,Not a psv passenger,,EH309NG,,,0,Car Driver,unset,3.497 km
29410,2,1,Vehicle or pillion passenger,Female,47,Slight,Unknown,Unknown,\,Not a school pupil,Not car or van,Not car passenger,Standing passenger,,EH225TT,,,0,Bus/coach Passenger,unset,10.78 km
29410,2,2,Vehicle or pillion passenger,Female,79,Slight,Unknown,Unknown,\,Not a school pupil,Not car or van,Not car passenger,Sitting passenger,,EH224NQ,,,0,Bus/coach Passenger,unset,9.184 km
29410,2,3,Vehicle or pillion passenger,Female,0,Slight,Unknown,Unknown,\,Not a school pupil,Not car or van,Not car passenger,Sitting passenger,,EH234JL,,,0,Bus/coach Passenger,unset,12.66 km
33110,1,1,Driver or Rider,Male,19,Serious,Unknown,Unknown,\,Not a school pupil,Not car or van,Not car passenger,Not a psv passenger,,EH192PF,,,0,Car Driver,unset,6.128 km
33110,2,2,Driver or Rider,Male,48,Slight,Unknown,Unknown,\,Not a school pupil,Not car or van,Not car passenger,Not a psv passenger,,PH28DS,,,0,Car Driver,unset,No Postcode Info.
33610,1,1,Pedestrian,Male,34,Serious,Unknown,Unknown,Unknown,Not a school pupil,Not car or van,Not car passenger,Not a psv passenger,,EH128XH,,,0,Pedestrian,unset,1.887 km
33710,1,1,Driver or Rider,Male,51,Slight,Unknown,Unknown,\,Not a school pupil,Not car or van,Not car passenger,Not a psv passenger,,EH41BN,,,0,Car Driver,unset,No Postcode Info.
36210,2,1,Pedestrian,Female,39,Slight,In carriageway not crossing,Unknown,Pedestrian sta,Not a school pupil,Not car or van,Not car passenger,Not a psv passenger,,EH13NW,,,0,Pedestrian,unset,No Postcode Info.
37610,1,1,Pedestrian,Female,25,Slight,In carriageway crossing elsewhere within 50 metres of pedestrian crossing,Crossing from drivers nearside,S,Not a school pupil,Not car or van,Not car passenger,Not a psv passenger,,EH74LA,,,0,Pedestrian,unset,No Postcode Info.
39410,1,2,Driver or Rider,Male,28,Slight,Unknown,Unknown,\,Not a school pupil,Not car or van,Not car passenger,Not a psv passenger,,EH525HJ,,,0,LGV Driver,unset,18.34 km
39410,2,1,Vehicle or pillion passenger,Male,39,Slight,Unknown,Unknown,\,Not a school pupil,Not car or van,Not car passenger,Sitting passenger,,EH39EY,,,0,Bus/coach Passenger,unset,No Postcode Info.
39410,2,3,Driver or Rider,Male,34,Slight,Unknown,Unknown,\,Not a school pupil,Not car or van,Not car passenger,Not a psv passenger,,EH558UB,,,0,Bus/coach Driver,unset,25.82 km
42310,2,1,Vehicle or pillion passenger,Female,39,Slight,Unknown,Unknown,\,Not a school pupil,Not car or van,Front seat car passenger,Not a psv passenger,,CA110EE,,,0,Car Passenger,unset,No Postcode Info.
42410,2,1,Driver or Rider,Male,27,Slight,Unknown,Unknown,\,Not a school pupil,Not car or van,Not car passenger,Not a psv passenger,,EH75LT,,,0,Ped Cyclist Driver,unset,No Postcode Info.
43510,1,1,Driver or Rider,Male,40,Serious,Unknown,Unknown,\,Not a school pupil,Not car or van,Not car passenger,Not a psv passenger,,EH89SL,,,0,Other,unset,No Postcode Info.
44010,1,1,Pedestrian,Male,35,Slight,In carriageway crossing elsewhere within 50 metres of pedestrian crossing,Unknown,N,Not a school pupil,Not car or van,Not car passenger,Not a psv passenger,,EH178UA,,,0,Pedestrian,unset,No Postcode Info.
44710,1,1,Pedestrian,Male,18,Slight,"In carriageway, crossing on pedestrian facility",Crossing from drivers offside,S,Not a school pupil,Not car or van,Not car passenger,Not a psv passenger,,EH44PY,,,0,Pedestrian,unset,No Postcode Info.
45910,1,1,Driver or Rider,Male,34,Slight,Unknown,Unknown,\,Not a school pupil,Not car or van,Not car passenger,Not a psv passenger,,EH44SJ,,,0,Car Driver,unset,No Postcode Info.
